GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
01,040,01,,,,,,Alabama,4779736,2171853,4447100,1963711,4779736,4447100,3275394,3162808,1251311,1155930,28218,22430,53595,31346,3057,1409,96910,28998,71251,44179
02,040,02,,,,,,Alaska,710231,306967,626932,260978,710231,626932,473576,434534,23263,21787,104871,98043,38135,25116,7409,3309,11102,9997,51875,34146
04,040,04,,,,,,Arizona,6392017,2844526,5130632,2189189,6392017,5130632,4667121,3873611,259008,158873,296529,255879,176695,92236,12648,6733,761716,596774,218300,146526
05,040,05,,,,,,Arkansas,2915918,1316299,2673400,1173043,2915918,2673400,2245229,2138598,449895,418950,22248,17808,36102,20220,5863,1668,99571,40412,57010,35744
06,040,06,,,,,,California,37253956,13680081,33871648,12214549,37253956,33871648,21453934,20170059,2299072,2263882,362801,333346,4861007,3697513,144386,116961,6317372,5682241,1815384,1607646
08,040,08,,,,,,Colorado,5029196,2212898,4301261,1808037,5029196,4301261,4089202,3560005,201737,165063,56010,44241,139028,95213,6623,4621,364140,309931,172456,122187
09,040,09,,,,,,Connecticut,3574097,1487891,3405565,1385975,3574097,3405565,2772410,2780355,362296,309843,11256,9639,135565,82313,1428,1366,198466,147201,92676,74848
11,040,11,,,,,,District of Columbia,601723,296719,572059,274845,601723,572059,231471,176101,305125,343312,2079,1713,21056,15189,302,348,24374,21950,17316,13446
11,040,11,,,,,,District of Columbia,601723,296719,572059,274845,601723,572059,231471,176101,305125,343312,2079,1713,21056,15189,302,348,24374,21950,17316,13446
12,040,12,,,,,,Florida,18801310,8989580,15982378,7302947,18801310,15982378,14109162,12465029,2999862,2335505,71458,53541,454821,266256,12286,8625,681144,477107,472577,376315
13,040,13,,,,,,Georgia,9687653,4088801,8186453,3281737,9687653,8186453,5787440,5327281,2950435,2349542,32151,21737,314467,173170,6799,4246,388872,196289,207489,114188
15,040,15,,,,,,Hawaii,1360301,519508,1211537,460542,1360301,1211537,336599,294102,21424,22003,4164,3535,525078,503868,135422,113539,16985,15147,320629,259343
16,040,16,,,,,,Idaho,1567582,667796,1293953,527824,1567582,1293953,1396487,1177304,9810,5456,21441,17645,19069,11889,2317,1308,79523,54742,38935,25609
17,040,17,,,,,,Illinois,12830632,5296715,12419293,4885615,12830632,12419293,9177877,9125471,1866414,1876875,43963,31006,586934,423603,4050,4610,861412,722712,289982,235016
18,040,18,,,,,,Indiana,6483802,2795541,6080485,2532319,6483802,6080485,5467906,5320022,591397,510034,18462,15815,102474,59126,2348,2005,173314,97811,127901,75672
19,040,19,,,,,,Iowa,3046355,1336417,2926324,1232511,3046355,2926324,2781561,2748640,89148,61853,11084,8989,53094,36635,2003,1009,56132,37420,53333,31778
20,040,20,,,,,,Kansas,2853118,1233215,2688418,1131200,2853118,2688418,2391044,2313944,167864,154198,28150,24936,67762,46806,2238,1313,110127,90725,85933,56496
21,040,21,,,,,,Kentucky,4339367,1927164,4041769,1750927,4339367,4041769,3809537,3640889,337520,295994,10120,8616,48930,29744,2501,1460,55551,22623,75208,42443
22,040,22,,,,,,Louisiana,4533372,1964981,4468976,1847181,4533372,4468976,2836192,2856161,1452396,1451944,30579,25477,70132,54758,1963,1240,69227,31131,72883,48265
23,040,23,,,,,,Maine,1328361,721830,1274923,651901,1328361,1274923,1264971,1236014,15707,6760,8568,7098,13571,9111,342,382,4261,2911,20941,12647
24,040,24,,,,,,Maryland,5773552,2378814,5296486,2145283,5773552,5296486,3359284,3391308,1700298,1477411,20420,15423,318853,210929,3157,2303,206832,95525,164708,103587
25,040,25,,,,,,Massachusetts,6547629,2808254,6349097,2621989,6547629,6349097,5265236,5367286,434398,343454,18850,15015,349768,238124,2223,2489,305151,236724,172003,146005
26,040,26,,,,,,Michigan,9883640,4532233,9938444,4234279,9883640,9938444,7803120,7966053,1400362,1412742,62007,58479,238199,176510,2604,2692,147029,129552,230319,192416
27,040,27,,,,,,Minnesota,5303925,2347201,4919479,2065946,5303925,4919479,4524062,4400282,274412,171731,60916,54967,214234,141968,2156,1979,103000,65810,125145,82742
28,040,28,,,,,,Mississippi,2967297,1274719,2844658,1161953,2967297,2844658,1754684,1746099,1098385,1033809,15030,11652,25742,18626,1187,667,38162,13784,34107,20021
29,040,29,,,,,,Missouri,5988927,2712729,5595211,2442017,5988927,5595211,4958770,4748083,693391,629391,27376,25076,98083,61595,6261,3178,80457,45827,124589,82061
30,040,30,,,,,,Montana,989415,482825,902195,412633,989415,902195,884961,817229,4027,2692,62555,56068,6253,4691,668,470,5975,5315,24976,15730
31,040,31,,,,,,Nebraska,1826341,796793,1711263,722668,1826341,1711263,1572838,1533261,82885,68541,18427,14896,32293,21931,1279,836,79109,47845,39510,23953
32,040,32,,,,,,Nevada,2700551,1173814,1998257,827457,2700551,1998257,1786688,1501886,218626,135477,32062,26420,195436,90266,16871,8426,324793,159354,126075,76428
33,040,33,,,,,,New Hampshire,1316470,614754,1235786,547024,1316470,1235786,1236050,1186851,15035,9035,3150,2964,28407,15931,384,371,12062,7420,21382,13214
34,040,34,,,,,,New Jersey,8791894,3553562,8414350,3310275,8791894,8414350,6029248,6104705,1204826,1141821,29026,19492,725726,480276,3043,3329,559722,450972,240303,213755
35,040,35,,,,,,New Mexico,2059179,901388,1819046,780579,2059179,1819046,1407876,1214253,42550,34343,193222,173483,28208,19255,1810,1503,308503,309882,77010,66327
36,040,36,,,,,,New York,19378102,8108103,18976457,7679307,19378102,18976457,12740974,12893689,3073800,3014385,106906,82461,1420244,1044976,8766,8818,1441563,1341946,585849,590182
37,040,37,,,,,,North Carolina,9535483,4327528,8049313,3523944,9535483,8049313,6528950,5804656,2048628,1737545,122110,99551,208962,113689,6604,3983,414030,186629,206199,103260
38,040,38,,,,,,North Dakota,672591,317498,642200,289677,672591,642200,605449,593181,7960,3916,36591,31329,6909,3606,320,230,3509,2540,11853,7398
39,040,39,,,,,,Ohio,11536504,5127508,11353140,4783051,11536504,11353140,9539437,9645453,1407681,1301307,25292,24486,192233,132633,4066,2749,130030,88627,237765,157885
40,040,40,,,,,,Oklahoma,3751351,1664378,3450654,1514400,3751351,3450654,2706845,2628434,277644,260968,321687,273230,65076,46767,4369,2372,154409,82898,221321,155985
41,040,41,,,,,,Oregon,3831074,1675562,3421399,1452709,3831074,3421399,3204614,2961623,69206,55662,53203,45211,141263,101350,13404,7976,204625,144832,144759,104745
42,040,42,,,,,,Pennsylvania,12702379,5567315,12281054,5249750,12702379,12281054,10406288,10484203,1377689,1224612,26843,18348,349088,219813,3653,3417,300983,188437,237835,142224
72,040,72,,,,,,Puerto Rico,3725789,1636946,3808610,1418476,3725789,3808610,2825100,3064862,461498,302933,19839,13336,6831,7960,370,1093,289905,260011,122246,158415
44,040,44,,,,,,Rhode Island,1052567,463388,1048319,439837,1052567,1048319,856869,891191,60189,46908,6058,5121,30457,23665,554,567,63653,52616,34787,28251
45,040,45,,,,,,South Carolina,4625364,2137683,4012012,1753670,4625364,4012012,3060000,2695560,1290684,1185216,19524,13718,59051,36014,2706,1628,113464,39926,79935,39950
46,040,46,,,,,,South Dakota,814180,363438,754844,323208,814180,754844,699392,669404,10207,4685,71817,62283,7610,4378,394,261,7477,3677,17283,10156
47,040,47,,,,,,Tennessee,6346105,2812133,5689283,2439443,6346105,5689283,4921948,4563310,1057315,932809,19994,15152,91242,56662,3642,2205,141955,56036,110009,63109
48,040,48,,,,,,Texas,25145561,9977436,20851820,8157575,25145561,20851820,17701552,14799505,2979598,2404566,170972,118362,964596,562319,21656,14434,2628186,2438001,679001,514633
49,040,49,,,,,,Utah,2763885,979709,2233169,768594,2763885,2233169,2379560,1992975,29287,17657,32927,29684,55285,37108,24554,15145,166754,93405,75518,47195
50,040,50,,,,,,Vermont,625741,322539,608827,294382,625741,608827,596292,589208,6277,3063,2207,2420,7947,5217,160,141,2105,1443,10753,7335
51,040,51,,,,,,Virginia,8001024,3364939,7078515,2904192,8001024,7078515,5486852,5120110,1551399,1390293,29225,21172,439890,261025,5980,3946,254278,138900,233400,143069
53,040,53,,,,,,Washington,6724540,2885677,5894121,2451075,6724540,5894121,5196362,4821823,240042,190267,103869,93301,481067,322335,40475,23953,349799,228923,312926,213519
54,040,54,,,,,,West Virginia,1852994,881917,1808344,844623,1852994,1808344,1739988,1718777,63124,57232,3787,3606,12406,9434,428,400,6119,3107,27142,15788
55,040,55,,,,,,Wisconsin,5686986,2624358,5363675,2321144,5686986,5363675,4902067,4769857,359148,304460,54526,47228,129234,88763,1827,1630,135867,84842,104317,66895
56,040,56,,,,,,Wyoming,563626,261868,493782,223854,563626,493782,511279,454670,4748,3722,13336,11133,4426,2771,427,302,17049,12301,12361,8883
